🕘️更新时间,#genre#
CCTV-9,http://221.233.192.152:1111/tsfile/live/0009_1.m3u8$订阅源
CCTV-9,http://59.48.75.130:3052/tsfile/live/0009_2.m3u8$订阅源
CCTV-9,http://1.197.252.234:9901/tsfile/live/0009_1.m3u8$订阅源
CCTV-9,http://183.66.15.146:60901/tsfile/live/0009_1.m3u8?key=txiptv$订阅源
CCTV-9,http://183.66.15.146:60901/tsfile/live/0009_1.m3u8$订阅源
CCTV-10,http://101.19.84.8:9901/tsfile/live/0010_1.m3u8$订阅源
CCTV-10,http://116.1.184.67:8181/tsfile/live/0010_1.m3u8$订阅源
CCTV-10,http://219.145.93.74:9999/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-10,http://116.117.104.39:8096/tsfile/live/0010_1.m3u8$订阅源
CCTV-10,http://182.32.204.113:3217/tsfile/live/1043_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-10,http://123.161.39.128:9901/tsfile/live/0010_1.m3u8$订阅源
CCTV-10,http://z.b.bkpcp.top/m.php?id=cctv10$订阅源
CCTV-10,http://123.163.114.115:9901/tsfile/live/0010_1.m3u8$订阅源
CCTV-10,http://221.233.192.152:1111/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-10,http://221.233.192.152:1111/tsfile/live/0010_1.m3u8$订阅源
CCTV-10,http://59.48.75.130:3052/tsfile/live/0010_1.m3u8$订阅源
CCTV-10,http://183.66.15.146:60901/tsfile/live/0010_1.m3u8?key=txiptv$订阅源
CCTV-10,http://183.66.15.146:60901/tsfile/live/0010_1.m3u8$订阅源
CCTV-10,http://119.125.134.176:9901/tsfile/live/0010_1.m3u8$订阅源
CCTV-10,http://221.199.193.79:9901/tsfile/live/0010_1.m3u8$订阅源
CCTV-11,http://101.19.84.8:9901/tsfile/live/0011_1.m3u8$订阅源
CCTV-11,http://58.53.152.198:9901/tsfile/live/0011_1.m3u8$订阅源
CCTV-11,http://219.145.93.74:9999/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-11,http://116.117.104.39:8096/tsfile/live/0011_1.m3u8$订阅源
CCTV-11,http://182.32.204.113:3217/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-11,http://123.161.39.128:9901/tsfile/live/0011_1.m3u8$订阅源
CCTV-11,http://z.b.bkpcp.top/m.php?id=cctv11$订阅源
CCTV-11,http://123.163.114.115:9901/tsfile/live/0011_1.m3u8$订阅源
CCTV-11,http://221.233.192.152:1111/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-11,http://221.233.192.152:1111/tsfile/live/0011_1.m3u8$订阅源
CCTV-11,http://59.48.75.130:3052/tsfile/live/0011_1.m3u8$订阅源
CCTV-11,http://1.197.252.234:9901/tsfile/live/0011_1.m3u8$订阅源
CCTV-11,http://183.66.15.146:60901/tsfile/live/0011_1.m3u8?key=txiptv$订阅源
CCTV-11,http://183.66.15.146:60901/tsfile/live/0011_1.m3u8$订阅源
CCTV-11,http://119.125.134.176:9901/tsfile/live/0011_1.m3u8$订阅源
CCTV-12,http://101.19.84.8:9901/tsfile/live/0012_1.m3u8$订阅源
CCTV-12,http://116.1.184.67:8181/tsfile/live/0012_1.m3u8$订阅源
CCTV-12,http://219.145.93.74:9999/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-12,http://116.117.104.39:8096/tsfile/live/0012_1.m3u8$订阅源
CCTV-12,http://182.32.204.113:3217/tsfile/live/1045_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-12,http://123.161.39.128:9901/tsfile/live/0012_1.m3u8$订阅源
CCTV-12,http://z.b.bkpcp.top/m.php?id=cctv12$订阅源
CCTV-12,http://123.163.114.115:9901/tsfile/live/0012_1.m3u8$订阅源
CCTV-12,http://221.233.192.152:1111/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-12,http://221.233.192.152:1111/tsfile/live/0012_1.m3u8$订阅源
CCTV-12,http://125.32.182.146:9901/tsfile/live/0012_1.m3u8$订阅源
CCTV-12,http://59.48.75.130:3052/tsfile/live/0012_1.m3u8$订阅源
CCTV-12,http://183.66.15.146:60901/tsfile/live/0012_1.m3u8$订阅源
CCTV-12,http://183.66.15.146:60901/tsfile/live/0012_1.m3u8?key=txiptv$订阅源
CCTV-12,http://119.125.134.176:9901/tsfile/live/0012_2.m3u8$订阅源
CCTV-13,http://101.19.84.8:9901/tsfile/live/0013_1.m3u8$订阅源
CCTV-13,http://116.1.184.67:8181/tsfile/live/0013_1.m3u8$订阅源
CCTV-13,http://58.53.152.198:9901/tsfile/live/0013_1.m3u8$订阅源
CCTV-13,http://219.145.93.74:9999/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-13,http://116.117.104.39:8096/tsfile/live/0013_1.m3u8$订阅源
CCTV-13,http://182.32.204.113:3217/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-13,http://123.161.39.128:9901/tsfile/live/0013_1.m3u8$订阅源
CCTV-13,http://z.b.bkpcp.top/m.php?id=cctv13$订阅源
CCTV-13,http://123.163.114.115:9901/tsfile/live/0013_1.m3u8$订阅源
CCTV-13,http://221.233.192.152:1111/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-13,http://221.233.192.152:1111/tsfile/live/0013_1.m3u8$订阅源
CCTV-13,http://125.32.182.146:9901/tsfile/live/0013_1.m3u8$订阅源
CCTV-13,http://59.48.75.130:3052/tsfile/live/0013_1.m3u8$订阅源
CCTV-13,http://1.197.252.234:9901/tsfile/live/0013_1.m3u8$订阅源
CCTV-13,http://183.66.15.146:60901/tsfile/live/0013_1.m3u8?key=txiptv$订阅源
CCTV-14,http://101.19.84.8:9901/tsfile/live/0014_1.m3u8$订阅源
CCTV-14,http://116.1.184.67:8181/tsfile/live/0014_1.m3u8$订阅源
CCTV-14,http://58.53.152.198:9901/tsfile/live/0014_2.m3u8$订阅源
CCTV-14,http://219.145.93.74:9999/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-14,http://116.117.104.39:8096/tsfile/live/0014_1.m3u8$订阅源
CCTV-14,http://182.32.204.113:3217/tsfile/live/1063_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-14,http://123.161.39.128:9901/tsfile/live/0014_1.m3u8$订阅源
CCTV-14,http://z.b.bkpcp.top/m.php?id=cctv14$订阅源
CCTV-14,http://123.163.114.115:9901/tsfile/live/0014_1.m3u8$订阅源
CCTV-14,http://221.233.192.152:1111/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-14,http://221.233.192.152:1111/tsfile/live/0014_1.m3u8$订阅源
CCTV-14,http://125.32.182.146:9901/tsfile/live/0014_1.m3u8$订阅源
CCTV-14,http://59.48.75.130:3052/tsfile/live/0014_1.m3u8$订阅源
CCTV-14,http://183.66.15.146:60901/tsfile/live/0014_1.m3u8$订阅源
CCTV-14,http://221.199.193.79:9901/tsfile/live/0014_1.m3u8$订阅源
CCTV-15,http://101.19.84.8:9901/tsfile/live/0015_1.m3u8$订阅源
CCTV-15,http://116.1.184.67:8181/tsfile/live/0015_1.m3u8$订阅源
CCTV-15,http://58.53.152.198:9901/tsfile/live/0015_2.m3u8$订阅源
CCTV-15,http://219.145.93.74:9999/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-15,http://116.117.104.39:8096/tsfile/live/0014_2.m3u8$订阅源
CCTV-15,http://182.32.204.113:3217/tsfile/live/1067_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-15,http://123.161.39.128:9901/tsfile/live/0015_1.m3u8$订阅源
CCTV-15,http://z.b.bkpcp.top/m.php?id=cctv15$订阅源
CCTV-15,http://123.163.114.115:9901/tsfile/live/0015_1.m3u8$订阅源
CCTV-15,http://221.233.192.152:1111/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-15,http://221.233.192.152:1111/tsfile/live/0015_1.m3u8$订阅源
CCTV-15,http://125.32.182.146:9901/tsfile/live/0015_1.m3u8$订阅源
CCTV-15,http://59.48.75.130:3052/tsfile/live/0015_1.m3u8$订阅源
CCTV-15,http://183.66.15.146:60901/tsfile/live/0015_1.m3u8$订阅源
CCTV-15,http://183.66.15.146:60901/tsfile/live/0015_1.m3u8?key=txiptv$订阅源
CCTV-16,http://116.1.184.67:8181/tsfile/live/1003_1.m3u8$订阅源
CCTV-16,http://182.32.204.113:3217/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-16,http://117.190.144.101:1111/tsfile/live/0016_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-16,http://117.190.144.101:1111/tsfile/live/0016_1.m3u8$订阅源
CCTV-16,http://171.110.42.239:8181/tsfile/live/1000_1.m3u8$订阅源
CCTV-16,http://219.159.194.252:8181/tsfile/live/1021_1.m3u8$订阅源
CCTV-16,http://222.217.230.193:8181/tsfile/live/1000_1.m3u8$订阅源
CCTV-16,http://58.17.116.69:9908/tsfile/live/0001_17.m3u8$订阅源
CCTV-16,http://58.17.116.69:9908/tsfile/live/0001_17.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-16,http://219.159.194.213:8181/tsfile/live/1021_1.m3u8$订阅源
CCTV-16,http://220.164.192.48:50085/tsfile/live/0017_1.m3u8$订阅源
CCTV-16,http://220.164.192.48:50085/tsfile/live/0017_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-16,http://222.217.230.195:8181/tsfile/live/1000_1.m3u8$订阅源
CCTV-16,http://39.134.136.161:6610/000000001000/5000000008000023254/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000008000023254$订阅源
CCTV-16,http://171.110.42.238:8181/tsfile/live/1000_1.m3u8$订阅源
CCTV-17,http://116.1.184.67:8181/tsfile/live/0019_1.m3u8$订阅源
CCTV-17,http://182.32.204.113:3217/tsfile/live/1066_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-17,http://z.b.bkpcp.top/m.php?id=cctv17$订阅源
CCTV-17,http://1.197.252.234:9901/tsfile/live/0007_2.m3u8$订阅源
CCTV-17,http://119.125.134.176:9901/tsfile/live/0016_1.m3u8$订阅源
CCTV-17,http://117.190.144.101:1111/tsfile/live/0017_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-17,http://117.190.144.101:1111/tsfile/live/0017_1.m3u8$订阅源
CCTV-17,http://171.110.42.239:8181/tsfile/live/0019_1.m3u8$订阅源
CCTV-17,http://219.159.194.252:8181/tsfile/live/0019_1.m3u8$订阅源
CCTV-17,http://222.217.230.193:8181/tsfile/live/0019_1.m3u8$订阅源
CCTV-17,http://58.17.116.69:9908/tsfile/live/0001_18.m3u8$订阅源
CCTV-17,http://58.17.116.69:9908/tsfile/live/0001_18.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-17,http://222.134.245.16:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-17,http://222.134.245.16:9901/tsfile/live/0019_1.m3u8$订阅源
CCTV-17,http://219.159.194.213:8181/tsfile/live/0019_1.m3u8$订阅源

💰央视付费频道,#genre#
风云足球,http://106.115.26.161:9999/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&down=1$订阅源
风云足球,http://120.238.94.10:9901/tsfile/live/1087_1.m3u8$订阅源
风云足球,http://112.234.21.109:9901/tsfile/live/1031_1.m3u8$订阅源

📡卫视频道,#genre#
广东卫视,http://116.1.184.67:8181/tsfile/live/0125_1.m3u8$订阅源
广东卫视,http://116.1.184.67:8181/tsfile/live/0125_2.m3u8$订阅源
广东卫视,http://115.48.63.16:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
广东卫视,http://58.53.152.198:9901/tsfile/live/0125_2.m3u8$订阅源
广东卫视,http://219.145.93.74:9999/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
广东卫视,http://116.117.104.39:8096/tsfile/live/0125_1.m3u8$订阅源
广东卫视,http://182.32.204.113:3217/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
广东卫视,http://123.161.39.128:9901/tsfile/live/0125_1.m3u8$订阅源
广东卫视,http://z.b.bkpcp.top/m.php?id=gdws$订阅源
广东卫视,http://123.163.114.115:9901/tsfile/live/0125_1.m3u8$订阅源
广东卫视,http://221.233.192.152:1111/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
广东卫视,http://221.233.192.152:1111/tsfile/live/0125_1.m3u8$订阅源
广东卫视,http://125.32.182.146:9901/tsfile/live/0125_1.m3u8$订阅源
广东卫视,http://59.48.75.130:3052/tsfile/live/0121_1.m3u8$订阅源
广东卫视,http://183.66.15.146:60901/tsfile/live/0125_1.m3u8$订阅源
浙江卫视,http://115.48.63.16:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
浙江卫视,http://219.145.93.74:9999/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
浙江卫视,http://116.117.104.39:8096/tsfile/live/0124_1.m3u8$订阅源
浙江卫视,http://182.32.204.113:3217/tsfile/live/1076_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
浙江卫视,http://123.163.114.115:9901/tsfile/live/0124_1.m3u8$订阅源
浙江卫视,http://221.233.192.152:1111/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
浙江卫视,http://221.233.192.152:1111/tsfile/live/0124_1.m3u8$订阅源
浙江卫视,http://59.48.75.130:3052/tsfile/live/0142_1.m3u8$订阅源
